,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon,WT_3m1p5
11096,12849.0,Appareil fixe-Vast apparaat,Overleiestraat,41.0,8500.0,Kortrijk,West-Vlaanderen,"Theater Antigone - bij toiletten
",Non-Nee,Non-Nee,,"Overleiestraat,41.0,West-Vlaanderen,Belgium",50.8326689,3.2602861,
11115,12882.0,Appareil fixe-Vast apparaat,Haven - Kruisweg,2.0,2040.0,Antwerpen,Antwerpen,"VLS Group, gebouw Servaes I, kantoor dispatch",Oui-Ja,Oui-Ja,,"Haven - Kruisweg,2.0,Antwerpen,Belgium",51.3170309,4.3353445,
11116,12883.0,Appareil fixe-Vast apparaat,Haven - Kruisweg,6.0,2040.0,Antwerpen,Antwerpen,"VLS Group - gebouw logiwl, kantoor dispatch",Non-Nee,Non-Nee,,"Haven - Kruisweg,6.0,Antwerpen,Belgium",51.3170309,4.3353445,
11117,12884.0,Appareil fixe-Vast apparaat,Haven Kruisweg ,9.0,2040.0,Antwerpen,Antwerpen,"VLS Group - gebouw Ecowell I, kantoor ppg",Non-Nee,Non-Nee,,"Haven Kruisweg ,9.0,Antwerpen,Belgium",51.3170309,4.3353445,
11118,12885.0,Appareil fixe-Vast apparaat,Haven Kruisweg,9.0,2040.0,Antwerpen,Antwerpen,"VLS Group, gebouw hoofdkantoor, receptie 1e verdiep",Non-Nee,Non-Nee,,"Haven Kruisweg,9.0,Antwerpen,Belgium",51.3170309,4.3353445,
11119,12886.0,Appareil fixe-Vast apparaat,Haven Kruisweg,11.0,2040.0,Antwerpen,Antwerpen,"VLS Group, gebouw Ecowell IV, kantoor inkomhal",Non-Nee,Non-Nee,,"Haven Kruisweg,11.0,Antwerpen,Belgium",51.3170309,4.3353445,
11120,12887.0,Appareil fixe-Vast apparaat,Moerstraat,9.0,2040.0,Antwerpen,Antwerpen,"VLS Group, Gebouw Blauwhoef 1, kantoor inkomhal",Non-Nee,Non-Nee,,"Moerstraat,9.0,Antwerpen,Belgium",51.3023061,4.3402291,
11121,12888.0,Appareil fixe-Vast apparaat,Moerstraat,17.0,2040.0,Antwerpen,Antwerpen,"VLS Group, gebouw Blauwhoef 3, Orbuit team inkomhal",Non-Nee,Non-Nee,,"Moerstraat,17.0,Antwerpen,Belgium",51.3023061,4.3402291,
11130,12900.0,Appareil fixe-Vast apparaat,Noorderlaan,,2030.0,Antwerpen,Antwerpen,"Satic nv, Atlantic House, 12e verdieping",Non-Nee,Non-Nee,,"Noorderlaan,,Antwerpen,Belgium",51.2697864,4.3766281,
11166,12937.0,Appareil fixe-Vast apparaat,Meir,,2000.0,Antwerpen,Antwerpen,Nespresso Antwerpen - bergruimte,Non-Nee,Non-Nee,,"Meir,,Antwerpen,Belgium",51.2180888,4.4091154,
11190,12961.0,Appareil fixe-Vast apparaat,Veemarkt,23.0,8500.0,Kortrijk,West-Vlaanderen,"Gelijkvloers, CM-kantoor",Oui-Ja,Non-Nee,,"Veemarkt,23.0,West-Vlaanderen,Belgium",50.8266496,3.2732172,
11191,12962.0,Appareil fixe-Vast apparaat,Beneluxpark,22.0,8500.0,Kortrijk,West-Vlaanderen,"Gelijkvloers, inkomhal CM-gebouw",Oui-Ja,Non-Nee,,"Beneluxpark,22.0,West-Vlaanderen,Belgium",50.7999855,3.2794026,
11248,13111.0,Appareil fixe-Vast apparaat,Scheldelaan,414.0,2030.0,Antwerpen,Antwerpen,"Hangt in een kast, in de blauwe inkom van het gebouw en is tijdens de kantooruren voor iedereen toegankelijk.
Gelijkvloers. 
Kan verplaatst worden. ",Oui-Ja,tijdens de werkuren,6.30 AM - 4 PM,"Scheldelaan,414.0,Antwerpen,Belgium",51.2998941,4.3074336,
11283,13189.0,Appareil fixe-Vast apparaat,Hamburgstraat ,3.0,2030.0,Antwerpen,Antwerpen,Het apparaat staat in de werkhal van het bedrijf Qpinch. ,Non-Nee,Oui-Ja,,"Hamburgstraat ,3.0,Antwerpen,Belgium",51.2633133,4.4110256,
